source_group,number_of_sources,total
AU-ANU:ADBO|AU-ANU:OA|AU-APAR,3,9
AU-APC:WB|AU-VU:AWR,2,5
AU-AIAS|AU-YORCID|AuCNLKIN,3,11
AU-ANU:ADBO|AU-NUN:DAAO|AU-SAUS|AU-VU|AuCNLKIN,5,2
AU-VU|AU-YORCID,2,1
AU-AIAS|AU-ANU:ADBO|AU-NUN:DAAO|AU-VU:AWR|AuCNLKIN,5,2
AU-AIAS|AU-VU:AWR|AU-YORCID|AuCNLKIN,4,2
AU-SAUS|AU-VU:EOAS|AU-YORCID|AuCNLKIN,4,1
AU-ANU:ADBO|AU-APAR|AU-APAR:S|AU-SAUS|AuCNLKIN,5,3
AU-ANU:ADBO|AU-ANU:OA|AU-NSAL|AuCNLKIN,4,5
AU-ANU:ADBO|AU-NSAL|AU-NUN:DAAO|AuCNLKIN,4,2
AU-ANL:MA|AU-SAUS,2,1
AU-VU|AU-YORCID|AuCNLKIN,3,3
AU-ANU:OA|AU-NAMC|AU-SAUS|AuCNLKIN,4,2
AU-NAMC|AU-VU:AWR,2,2
AU-NUWS|AU-SAUS,2,6
AU-ANU:ADBO|AU-APAR|AU-APAR:S|AU-NSAL|AuCNLKIN,5,1
AU-ANL:MA|AU-NAMC|AU-SAUS|AU-VASD|AuCNLKIN,5,1
AU-ANU:OA|AU-NSAL|AuCNLKIN,3,2
AU-NTSM|AU-VU:AWR|AU-YORCID|AuCNLKIN,4,1
AU-ANU|AU-YORCID,2,2
AU-ANU:ADBO|AU-SAUS|AU-VU|AU-VU:EOAS|AuCNLKIN,5,3
AU-ANU:ADBO|AU-VU|AU-VU:AWR,3,5
AU-NMQU|AuCNLKIN,2,3
AU-ANL:AD|AU-NMUS:CAN|AuCNLKIN,3,1
AU-APAR:S|AU-VU:EOAS,2,1
AU-ANU:ADBO|AU-ANU:OA|AU-SAUS|AU-VU:AWR|AuCNLKIN,5,2
OCLC-VIAF,1,1
AU-VPRO|AU-VU,2,2
AU-NSAL|AU-VU:AWR|AU-VU:EOAS,3,1
AU-ANU:OA|AU-VU|AuCNLKIN,3,6
AU-AIAS|AU-ANL:MA|AU-ANL:MA-DM|AuCNLKIN,4,1
AU-ANU:ADBO|AU-APAR|AU-VU:EOAS|AuCNLKIN,4,1
AU-APAR|AU-VU:EOAS|AuCNLKIN,3,4
AU-VU|AU-VU:EOAS|AU-WS:AUS|AuCNLKIN,4,1
AU-VPRO|AU-VU:AWR|AuCNLKIN,3,1
AU-ANL:MA|AU-NUN:DAAO|AU-VASD|AuCNLKIN,4,1
AU-AIAS|AU-NUN:DAAO|AU-VU:AWR|AuCNLKIN,4,7
AU-NMUS:CAN|AU-NUN:DAAO|AuCNLKIN,3,5
