occupation,total
Comic Book Letterer,2
Portmaster,1
Visual Methods,1
Applied Ethics,5
Stepped Wedge Cluster Trials,1
Qualitative Research Methods,5
Primary Care,13
Mental Health,78
Airman,34
Station Hand,16
Museum curator,39
Environmental Science,14
Environmental Protection,2
Urban Climate Resilience,1
Multidisciplinary,3
Decision Making,13
Regional Urban Planning,1
Social Sciences,5
Planning and Governance,1
Urban Studies,9
Social Impact Assessment,6
Ecological Resilience,1
Marine Protected Areas,6
Climate Change Adaptation,9
Jeweller,25
Homemaker,31
Mucosal Immunology,5
Innate Immunity,24
Crohn's Disease,4
Biomarker,7
Epigenetics,44
Pediatrics,5
Gastroenterology,5
Microbiome,7
Indigeneity,2
Aboriginal,10
Indigenous,14
Social Media,43
Archer,22
Grocer,20
Jockey,28
Comic book writer,46
Penciller,31
Inker,31
Attorney General,7
Mystic,6
Builders,14
Sugar Manufacturer,4
Kimberley (W.A.) -- Languages,1
Lawyers.,2
Authors.,5
Arrangers (Music),1
Bandmasters,6
Bibliometrics,6
Institutional Dimensions Of Governance,1
Nurses,44
Women authors,37
Impersonator,79
"Member for Braddon, Tasmania",8
Statistics,48
Econometrics,12
behavio*r*,1
transport*,1
Travel,4
"Musician, Clarinetist",16
Scaling Laws,1
Solids Holdup,1
Pressure Fluctuation,1
Binary Mixture,1
Mixing And Segregation,1
Chemical looping combustion (CLC),1
Cold Flow Model (CFM),1
Circulating Fluidized beds,1
Hematology,2
Hematopoiesis,5
BCL-2,1
Apoptosis,19
Clinical Trials,25
Forestry,5
Ecology and Conservation,11
Anthropometry,2
Cross-ethnic,1
Kinanthropometry,2
Body Image,5
Body Composition,7
Music critics,40
Musicologists,97
Legal Philosopher,2
Mass Spectrometry,26
Steroidal Saponins,1
NMR spectroscopy,4
Biosynthesis,4
Natural Products,12
Dentist,57
Organists,81
Political And Industrial Organiser,2
Personality,11
Social Network,1
Information,3
Zoology,5
